"","n","n_t","zeta","Q","scenario_id","rank","iteration_id","save_model","dsim_seed","model_seed","start_gamma","start_emiss"
"21",80,400,1,0.4,"1f5be21a26b3b78d733a71d3cfceba8b",7,"20cb06ba1dc3e1bcc3c35e2dc7dc2b39",TRUE,9317755,7559892,"{
  ""tpm"": [0.708, 0.146, 0.146, 0.146, 0.708, 0.146, 0.146, 0.146, 0.708]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.5141, 1.5605, -6.1998, 1.4169, 4.3776, 1.5641],
  ""EOG_median_theta"": [6.1824, 1.557, 1.0402, 1.5224, -3.8913, 1.5212],
  ""EOG_min_beta"": [-6.1049, 1.4105, 3.83, 1.5876, -1.0115, 1.5662]
}"
"22",80,400,1,0.4,"1f5be21a26b3b78d733a71d3cfceba8b",26,"f74d502b432514406d72997327628b1e",TRUE,5939297,2497346,"{
  ""tpm"": [0.6714, 0.1643, 0.1643, 0.1643, 0.6714, 0.1643, 0.1643, 0.1643, 0.6714]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.6272, 1.401, -6.1961, 1.4378, 4.1662, 1.5725],
  ""EOG_median_theta"": [5.8594, 1.5248, 0.9378, 1.4615, -3.9861, 1.5297],
  ""EOG_min_beta"": [-6.1489, 1.4901, 4.0162, 1.4827, -1.0658, 1.4386]
}"
"23",40,1600,0.5,0.2,"21312fb2fd0b87dd6c452e383a39a0b9",2,"c8f55ecfdf1ba0e752fbcd7b71af8231",TRUE,9111551,1873026,"{
  ""tpm"": [0.7583, 0.1209, 0.1209, 0.1209, 0.7583, 0.1209, 0.1209, 0.1209, 0.7583]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.6545, 0.9772, -5.8465, 1.0692, 4.3351, 0.9784],
  ""EOG_median_theta"": [6.0338, 1.0621, 1.0161, 0.9767, -3.9037, 1.0347],
  ""EOG_min_beta"": [-5.946, 1.0409, 3.8007, 0.9952, -1.3038, 0.9651]
}"
"24",40,1600,0.5,0.2,"21312fb2fd0b87dd6c452e383a39a0b9",11,"0aea246c35cd82ae9d8576fbb6fa7509",TRUE,3671711,5385633,"{
  ""tpm"": [0.5168, 0.2416, 0.2416, 0.2416, 0.5168, 0.2416, 0.2416, 0.2416, 0.5168]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.5458, 1.0611, -5.8652, 1.0025, 4.2477, 0.9515],
  ""EOG_median_theta"": [6.1754, 1.0299, 1.0347, 1.0696, -3.8884, 1.0455],
  ""EOG_min_beta"": [-6.0524, 0.9262, 4.1907, 1.0429, -1.2146, 1.0588]
}"
"25",80,800,1,0.2,"21c31be075a5ae357836fd5fb3da796b",9,"45ce6d93f3ef375ee064a376dbb492f9",TRUE,1247180,5435487,"{
  ""tpm"": [0.5559, 0.222, 0.222, 0.222, 0.5559, 0.222, 0.222, 0.222, 0.5559]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.3708, 1.5007, -6.1236, 1.5542, 4.3051, 1.4878],
  ""EOG_median_theta"": [6.1775, 1.5088, 1.1565, 1.5707, -3.9754, 1.4283],
  ""EOG_min_beta"": [-6.0093, 1.4502, 4.1679, 1.5149, -1.3068, 1.5382]
}"
"26",80,800,1,0.2,"21c31be075a5ae357836fd5fb3da796b",20,"5290d53d8183df03738afeca576625a3",TRUE,9938576,4891355,"{
  ""tpm"": [0.7357, 0.1321, 0.1321, 0.1321, 0.7357, 0.1321, 0.1321, 0.1321, 0.7357]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.3236, 1.5016, -5.87, 1.4091, 4.1892, 1.485],
  ""EOG_median_theta"": [6.059, 1.5885, 0.9309, 1.5399, -4.1378, 1.5489],
  ""EOG_min_beta"": [-6.1736, 1.4925, 3.9304, 1.4821, -1.1883, 1.5746]
}"
"27",40,400,2,0.1,"238db7224502c103b7d7b6c51d46a590",14,"2d635910a432561c293259c51066dc82",TRUE,5590762,7767935,"{
  ""tpm"": [0.5208, 0.2396, 0.2396, 0.2396, 0.5208, 0.2396, 0.2396, 0.2396, 0.5208]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.6588, 2.5162, -5.9252, 2.543, 4.0429, 2.4189],
  ""EOG_median_theta"": [5.8833, 2.4862, 1.242, 2.4664, -4.1142, 2.5051],
  ""EOG_min_beta"": [-5.885, 2.5404, 3.9291, 2.5369, -1.0335, 2.5402]
}"
"28",40,400,2,0.1,"238db7224502c103b7d7b6c51d46a590",27,"e8d3d9d8eccf4de749ac868025b5eed5",TRUE,6249574,3746930,"{
  ""tpm"": [0.7369, 0.1315, 0.1315, 0.1315, 0.7369, 0.1315, 0.1315, 0.1315, 0.7369]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.6837, 2.4463, -5.8137, 2.5275, 4.0701, 2.4556],
  ""EOG_median_theta"": [5.8506, 2.4772, 0.9379, 2.5484, -3.9366, 2.5232],
  ""EOG_min_beta"": [-6.1024, 2.5421, 4.1522, 2.5427, -1.3326, 2.5404]
}"
"29",80,1600,1,0.4,"26c468094942c888a123d38e80b975ae",22,"ab2a4b0b75b9897edd7864858e073feb",TRUE,714370,6598068,"{
  ""tpm"": [0.6277, 0.1862, 0.1862, 0.1862, 0.6277, 0.1862, 0.1862, 0.1862, 0.6277]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.6127, 1.4609, -5.8794, 1.5421, 4.2971, 1.5906],
  ""EOG_median_theta"": [5.8275, 1.5634, 1.0407, 1.5371, -4.1273, 1.5001],
  ""EOG_min_beta"": [-5.992, 1.4601, 4.0805, 1.4836, -1.043, 1.55]
}"
"30",80,1600,1,0.4,"26c468094942c888a123d38e80b975ae",26,"0051465db12a5ee15c782a3d816a37a9",TRUE,2743671,9184025,"{
  ""tpm"": [0.6128, 0.1936, 0.1936, 0.1936, 0.6128, 0.1936, 0.1936, 0.1936, 0.6128]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.3278, 1.5457, -6.1017, 1.423, 4.1735, 1.4296],
  ""EOG_median_theta"": [5.9391, 1.5212, 1.0868, 1.4268, -4.1722, 1.5792],
  ""EOG_min_beta"": [-5.9984, 1.5761, 3.9966, 1.4405, -1.0305, 1.4607]
}"
